Name,ATK,STR,DEF,MAG,RNG,AGI
Chicken,1,1,1,1,1,45
Cow,1,1,1,1,1,30
Cow calf,1,1,1,1,1,45
Duck,1,1,1,1,1,60
Ram,1,1,1,1,1,45
Seagull,1,1,1,1,1,75
Man,1,1,1,1,1,45
Woman,1,1,1,1,1,45
Farmer,1,1,2,1,1,30
Goblin,1,1,1,1,1,60
Guard,5,5,4,1,1,45
Rat,1,1,1,1,1,75
Giant rat,1,1,1,1,1,60
Imp,1,1,1,1,1,90
Zombie,2,3,3,1,1,15
Skeleton,5,5,5,1,1,30
Ghost,4,4,5,1,1,60
Barbarian,2,2,1,1,1,60
Warrior,2,2,1,1,1,60
Wizard,2,2,2,3,1,45
Dark wizard,5,5,4,7,1,45
Minotaur,7,8,8,1,1,30
Bear,5,5,5,1,1,30
Grizzly bear,12,11,11,1,1,30
Unicorn,3,4,4,1,1,75
Spider,1,1,1,1,1,75
Giant spider,6,7,6,1,1,45
Scorpion,3,4,3,1,1,60
Hill giant,5,7,8,1,1,15
Moss giant,9,9,9,1,1,15
Fire giant,20,20,20,1,1,15
Ice giant,12,12,12,1,1,15
Earth warrior,13,13,13,1,1,30
Lesser demon,20,21,21,1,1,30
Greater demon,23,23,24,1,1,30
Black demon,44,44,46,1,1,30
Black knight,8,8,8,1,1,30
White knight,8,9,6,1,1,30
Hobgoblin,7,7,7,1,1,45
Chaos druid,2,2,4,3,1,45
Rock crab,1,1,1,1,1,15
Sand crab,1,1,1,1,1,15
Swamp crab,1,1,15,15,1,15
Gemstone crab,1,1,1,1,1,33
Pirate,6,6,6,1,1,45
Rogue,4,4,4,1,1,75
Abyssal demon,40,40,40,1,5,65
Aberrant spectre,1,1,27,32,1,45
Deviant spectre,1,1,27,62,1,45
Ankou,21,21,18,1,1,15
Banshee,7,5,7,1,1,30
Twisted banshee,23,26,15,1,1,30
Basilisk,9,14,23,1,1,10
Basilisk knight,51,39,60,1,1,10
Bloodveld,23,14,9,1,1,20
Mutated bloodveld,33,35,9,1,1,20
Cave bug,2,2,2,1,1,60
Cave crawler,7,5,5,1,1,45
Cave slime,4,4,11,4,1,30
