Name,Class,Species,Difficulty,BossTier
Aberrant spectre,MYSTIC,UNDEAD,HARD,
Abyssal demon,PREDATOR,DEMON,HARD,
Abyssal Sire,TITAN,DEMON,BOSS,mid
Adamant dragon,TITAN,DRAGON,ELITE,
Ahrim the Blighted,MYSTIC,UNDEAD,BOSS,accessible
Akkha,APEX,UNDEAD,BOSS,endgame
Alchemical Hydra,ARCHON,WYRM,BOSS,mid
Amoxliatl,MYSTIC,NAGUA,BOSS,accessible
Ancient wyvern,TITAN,WYRM,HARD,
Ankou,BRUTE,UNDEAD,EASY,
Araxxor,JUGGERNAUT,INSECT,BOSS,mid
Artio,JUGGERNAUT,ANIMAL,BOSS,mid
Ba-Ba,TITAN,ANIMAL,BOSS,endgame
Baby blue dragon,NIMBLE,DRAGON,BEGINNER,
Baby green dragon,NIMBLE,DRAGON,BEGINNER,
Banshee,MYSTIC,UNDEAD,BEGINNER,
Barbarian,BRUTE,HUMAN,BEGINNER,
Basilisk,TANK,OTHER,EASY,
Basilisk knight,TANK,OTHER,HARD,
Bear,BRUTE,ANIMAL,BEGINNER,
Black demon,TITAN,DEMON,HARD,
Black dragon,TITAN,DRAGON,HARD,
Black knight,BRUTE,HUMAN,EASY,
Bloodveld,BRUTE,DEMON,MEDIUM,
Blue dragon,TITAN,DRAGON,MEDIUM,
Bronze dragon,TITAN,DRAGON,MEDIUM,
Brutal black dragon,JUGGERNAUT,DRAGON,HARD,
Brutal blue dragon,JUGGERNAUT,DRAGON,HARD,
Brutal green dragon,TITAN,DRAGON,HARD,
Brutal red dragon,JUGGERNAUT,DRAGON,HARD,
Bryophyta,TITAN,GIANT,BOSS,accessible
Callisto,JUGGERNAUT,ANIMAL,BOSS,mid
Calvar'ion,JUGGERNAUT,UNDEAD,BOSS,mid
Cave bug,NIMBLE,INSECT,BEGINNER,
Cave crawler,PREDATOR,INSECT,EASY,
Cave horror,STALKER,OTHER,MEDIUM,
Cave slime,TANK,INSECT,EASY,
Cerberus,JUGGERNAUT,DEMON,BOSS,mid
Chaos druid,BRUTE,HUMAN,EASY,
REMOVE - X - Chaos druid warrior,BRUTE,HUMAN,HARD,
Chaos Elemental,MYSTIC,OTHER,BOSS,accessible
Chaos Fanatic,MYSTIC,HUMAN,BOSS,accessible
Chicken,NIMBLE,ANIMAL,BEGINNER,
Commander Zilyana,APEX,OTHER,BOSS,mid
Corporeal Beast,JUGGERNAUT,OTHER,BOSS,mid
Cow,TANK,ANIMAL,BEGINNER,
Cow calf,NIMBLE,ANIMAL,BEGINNER,
Crazy Archaeologist,RANGER,HUMAN,BOSS,accessible
Dagannoth,STALKER,OTHER,MEDIUM,
Dagannoth Prime,ARCHON,OTHER,BOSS,mid
Dagannoth Rex,JUGGERNAUT,OTHER,BOSS,mid
Dagannoth Supreme,ARCHON,OTHER,BOSS,mid
Dark beast,TITAN,OTHER,HARD,
