Name,Dex,Difficulty,CombatClass,Species,ATK,STR,DEF,MAG,RNG,AGI,BossFloor,WikiNameOverride,Flags,Notes
Aberrant spectre,1,HARD,MYSTIC,UNDEAD,1,1,27,32,1,45,,,,
Abyssal demon,2,HARD,PREDATOR,DEMON,29,20,41,1,1,60,,,,
Abyssal Sire,3,BOSS,APEX,DEMON,54,41,75,60,1,30,mid,,,
Adamant dragon,4,ELITE,JUGGERNAUT,DRAGON,84,84,82,56,56,45,,,,
Ahrim the Blighted,5,BOSS,MYSTIC,UNDEAD,1,1,30,30,1,30,accessible,,,
Akkha,6,BOSS,APEX,UNDEAD,30,42,24,30,30,60,endgame,,,
Alchemical Hydra,7,BOSS,ARCHON,WYRM,30,30,30,78,78,45,mid,,,
Amoxliatl,8,BOSS,MYSTIC,ANIMAL,1,1,24,51,1,30,endgame,,,
Ancient wyvern,9,HARD,TITAN,WYRM,45,45,45,27,27,45,,Ancient Wyvern,,
Ankou,10,MEDIUM,BRUTE,UNDEAD,21,21,18,1,1,30,,,,
Araxxor,11,BOSS,JUGGERNAUT,INSECT,90,90,41,57,63,60,endgame,,,
Artio,12,BOSS,JUGGERNAUT,ANIMAL,75,81,45,27,36,30,mid,,,
Ba-Ba,13,BOSS,TITAN,ANIMAL,45,48,24,30,1,45,endgame,,,
Baby blue dragon,14,EASY,NIMBLE,DRAGON,12,12,12,1,1,45,,,,
Baby green dragon,15,EASY,NIMBLE,DRAGON,12,12,12,1,1,45,,,,
Banshee,16,EASY,MYSTIC,UNDEAD,7,5,7,1,1,30,,,,
Barbarian,17,EASY,BRUTE,HUMAN,2,2,1,1,1,60,,,,
Basilisk,18,EASY,TANK,OTHER,9,14,23,1,1,30,,,no_species(OTHER),
Basilisk knight,19,HARD,TANK,OTHER,51,39,60,1,1,30,,Basilisk Knight,no_species(OTHER),
Bear,20,BEGINNER,BRUTE,ANIMAL,5,5,5,1,1,30,,Grizzly bear,,
Black demon,21,HARD,TITAN,DEMON,44,44,46,1,1,30,,,,
Black dragon,22,HARD,TITAN,DRAGON,60,60,60,30,1,30,,,,
Black knight,23,EASY,BRUTE,HUMAN,8,8,8,1,1,30,,Black Knight,,
Bloodveld,24,MEDIUM,STALKER,DEMON,23,14,9,1,1,45,,,,
Blue dragon,25,MEDIUM,TITAN,DRAGON,29,29,29,1,1,30,,,,
Bronze dragon,26,MEDIUM,TITAN,DRAGON,34,34,34,30,1,30,,,,
Brutal black dragon,27,HARD,JUGGERNAUT,DRAGON,90,63,78,75,1,30,,,,
Brutal blue dragon,28,HARD,JUGGERNAUT,DRAGON,90,60,60,60,1,30,,,,
Brutal green dragon,29,HARD,TITAN,DRAGON,80,50,50,50,1,30,,,,
Brutal red dragon,30,HARD,JUGGERNAUT,DRAGON,90,63,60,75,1,30,,,,
Bryophyta,31,BOSS,TITAN,OTHER,39,30,30,27,1,15,accessible,,no_species(OTHER),
Callisto,32,BOSS,JUGGERNAUT,ANIMAL,90,90,68,42,60,30,mid,,,
Calvar'ion,33,BOSS,JUGGERNAUT,UNDEAD,75,75,68,53,1,30,mid,,,
Cave bug,34,BEGINNER,NIMBLE,INSECT,2,2,2,1,1,60,,,,
Cave crawler,35,EASY,PREDATOR,INSECT,7,5,5,1,1,45,,,,
Cave horror,36,MEDIUM,STALKER,OTHER,24,23,19,24,1,45,,,no_species(OTHER),
Cave slime,37,EASY,TANK,INSECT,4,4,11,4,1,30,,,,
Cerberus,38,BOSS,JUGGERNAUT,DEMON,66,66,30,66,66,45,mid,,,
Chaos druid,39,EASY,BRUTE,HUMAN,2,2,4,3,1,45,,,,
Chaos druid warrior,40,HARD,BRUTE,HUMAN,10,10,8,1,1,45,,,,
Chaos Elemental,41,BOSS,APEX,OTHER,81,81,81,81,81,75,mid,,no_species(OTHER),
Chaos Fanatic,42,BOSS,MYSTIC,HUMAN,1,1,66,60,1,45,accessible,,,
Chicken,43,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,45,,,,
Commander Zilyana,44,BOSS,ARCHON,OTHER,84,59,90,90,75,75,mid,,no_species(OTHER),
Corporeal Beast,45,BOSS,JUGGERNAUT,OTHER,90,90,90,90,45,15,mid,,no_species(OTHER),
Cow,46,BEGINNER,TANK,ANIMAL,1,1,1,1,1,30,,,,
Cow calf,47,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,45,,,,
Crazy Archaeologist,48,BOSS,RANGER,HUMAN,1,1,54,1,59,60,accessible,,,
Dagannoth,49,MEDIUM,STALKER,OTHER,20,21,15,1,1,60,,,no_species(OTHER),
Dagannoth Prime,50,BOSS,ARCHON,OTHER,77,77,77,77,1,30,mid,,no_species(OTHER),
Dagannoth Rex,51,BOSS,JUGGERNAUT,OTHER,77,77,77,1,77,30,mid,,no_species(OTHER),
Dagannoth Supreme,52,BOSS,ARCHON,OTHER,77,77,38,77,77,30,mid,,no_species(OTHER),
Dark beast,53,HARD,TITAN,OTHER,42,48,36,48,1,30,,,no_species(OTHER),
Dark warrior,54,HARD,BRUTE,HUMAN,23,23,17,1,1,45,,Dark Warrior,,
Dark wizard,55,BEGINNER,MYSTIC,HUMAN,5,5,4,7,1,45,,,,
Dawn,56,BOSS,APEX,OTHER,42,42,30,30,42,45,accessible,,no_species(OTHER),
Deranged Archaeologist,57,BOSS,RANGER,HUMAN,1,1,75,1,72,45,accessible,,,
Desert lizard,58,EASY,NIMBLE,ANIMAL,6,7,6,1,1,60,,Desert Lizard,,
Deviant spectre,59,HARD,MYSTIC,UNDEAD,1,1,27,62,1,45,,,,
Dharok the Wretched,60,BOSS,TITAN,UNDEAD,30,30,30,1,1,30,accessible,,,
Drake,61,HARD,TITAN,WYRM,42,35,36,34,42,45,,,,
Duck,62,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,60,,,,
Duke Sucellus,63,BOSS,JUGGERNAUT,DEMON,90,90,83,90,1,30,endgame,,,
Dusk,64,BOSS,APEX,OTHER,60,42,30,42,42,30,accessible,,no_species(OTHER),
Dust devil,65,MEDIUM,PREDATOR,DEMON,32,21,12,1,1,60,,,,
Earth warrior,66,EASY,BRUTE,OTHER,13,13,13,1,1,30,,,no_species(OTHER),
Elidinis' Warden,67,BOSS,APEX,OTHER,90,45,45,57,57,45,endgame,,no_species(OTHER),
Farmer,68,BEGINNER,BRUTE,HUMAN,1,1,2,1,1,30,,,,
Feral vampyre,69,MEDIUM,PREDATOR,UNDEAD,17,18,17,12,1,45,,Feral Vampyre,,
Fever spider,70,EASY,PREDATOR,INSECT,18,9,12,1,1,60,,,,
Fire giant,71,MEDIUM,TANK,GIANT,20,20,20,1,1,15,,,,
Fleshcrawler,72,EASY,PREDATOR,INSECT,18,1,3,1,1,60,,Flesh Crawler,,
Fossil island wyvern,73,HARD,TITAN,WYRM,38,36,27,27,27,45,,Long-tailed Wyvern,,
Gargoyle,74,HARD,TANK,OTHER,23,32,32,1,1,30,,,no_species(OTHER),
Gemstone crab,75,BOSS,TANK,ANIMAL,1,1,1,1,1,33,accessible,Gemstone Crab,,
General Graardor,76,BOSS,JUGGERNAUT,GIANT,84,90,75,24,90,30,mid,,,
Ghost,77,EASY,STALKER,UNDEAD,4,4,5,1,1,60,,,,
Giant Mole,78,BOSS,JUGGERNAUT,ANIMAL,60,60,60,60,1,45,accessible,,,
Giant rat,79,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,60,,,,
Giant spider,80,EASY,PREDATOR,INSECT,6,7,6,1,1,45,,,,
Goblin,81,BEGINNER,NIMBLE,GOBLINOID,1,1,1,1,1,60,,,,
Great Olm,82,BOSS,ARCHON,DRAGON,75,75,45,75,75,30,endgame,,,
Greater demon,83,HARD,BRUTE,DEMON,23,23,24,1,1,30,,,,
Greater nechryael,84,HARD,PREDATOR,DEMON,59,59,26,1,1,45,,Greater Nechryael,,
Green dragon,85,MEDIUM,PREDATOR,DRAGON,20,20,20,20,1,30,,,,
Grizzly bear,86,BEGINNER,BRUTE,ANIMAL,12,11,11,1,1,30,,,,
Guard,87,EASY,BRUTE,HUMAN,5,5,4,1,1,45,,,,
Guthan the Infested,88,BOSS,BRUTE,UNDEAD,30,30,30,1,1,30,accessible,,,
Hellhound,89,HARD,PREDATOR,DEMON,32,31,31,1,1,45,,,,
Hespori,90,BOSS,TITAN,OTHER,1,1,36,38,45,30,accessible,,no_species(OTHER),
Hill giant,91,EASY,BRUTE,GIANT,5,7,8,1,1,15,,,,
Hobgoblin,92,EASY,BRUTE,GOBLINOID,7,7,7,1,1,45,,,,
Hueycoatl,93,BOSS,APEX,OTHER,84,84,60,66,66,45,endgame,,no_species(OTHER),
Hydra,94,ELITE,STALKER,WYRM,1,1,30,63,63,30,,,,
Ice giant,95,EASY,TANK,GIANT,12,12,12,1,1,15,,,,
Ice spider,96,EASY,PREDATOR,INSECT,15,17,13,1,1,45,,Ice Spider,,
Ice troll,97,MEDIUM,TANK,TROLL,30,30,36,1,1,15,,,,
Ice warrior,98,EASY,BRUTE,HUMAN,14,14,14,1,1,30,,Ice Warrior,,
Imp,99,BEGINNER,NIMBLE,DEMON,1,1,1,1,1,90,,,,
Infernal mage,100,MEDIUM,MYSTIC,DEMON,1,1,18,23,1,45,,Infernal Mage,,
