Name,CombatClass,ATK,STR,DEF,MAG,RNG,AGI,Notes
Chicken,NIMBLE,1,1,1,1,1,45,
Cow,TANK,1,1,1,1,1,30,
Cow calf,NIMBLE,1,1,1,1,1,45,
Duck,NIMBLE,1,1,1,1,1,60,
Ram,BRUTE (fallback),,,,,,,Missing from STAT_BASES and COMBAT_CLASSES — add next session
Seagull,NIMBLE,1,1,1,1,1,75,
Man,BRUTE,1,1,1,1,1,45,
Woman,BRUTE,1,1,1,1,1,45,
Farmer,BRUTE,1,1,2,1,1,30,
Goblin,NIMBLE,1,1,1,1,1,60,
Guard,BRUTE,5,5,4,1,1,45,
Rat,NIMBLE,1,1,1,1,1,75,
Giant rat,NIMBLE,1,1,1,1,1,60,
Imp,NIMBLE,1,1,1,1,1,90,
Zombie,BRUTE,2,3,3,1,1,15,
Skeleton,BRUTE,5,5,5,1,1,30,
Ghost,STALKER,4,4,5,1,1,60,
Barbarian,BRUTE,2,2,1,1,1,60,
Warrior,BRUTE,2,2,1,1,1,60,
Wizard,MYSTIC,2,2,2,3,1,45,
Dark wizard,MYSTIC,5,5,4,7,1,45,
Minotaur,TANK,7,8,8,1,1,30,
Bear,BRUTE,5,5,5,1,1,30,
Grizzly bear,BRUTE,12,11,11,1,1,30,
Unicorn,NIMBLE,3,4,4,1,1,75,
Spider,NIMBLE,1,1,1,1,1,75,
Giant spider,PREDATOR,6,7,6,1,1,45,
Scorpion,TANK,3,4,3,1,1,60,
King scorpion,TANK,9,9,7,1,1,45,
Hill giant,BRUTE,5,7,8,1,1,15,
Moss giant,TANK,9,9,9,1,1,15,
Fire giant,TANK,20,20,20,1,1,15,
Ice giant,TANK,12,12,12,1,1,15,
Earth warrior,BRUTE,13,13,13,1,1,30,
Lesser demon,BRUTE,20,21,21,1,1,30,
Greater demon,BRUTE,23,23,24,1,1,30,
Black demon,TITAN,44,44,46,1,1,30,
Black knight,BRUTE,8,8,8,1,1,30,
White knight,BRUTE,8,9,6,1,1,30,
Hobgoblin,BRUTE,7,7,7,1,1,45,
Chaos druid,BRUTE,2,2,4,3,1,45,
Rock crab,TANK,1,1,1,1,1,15,
Sand crab,TANK,1,1,1,1,1,15,
Swamp crab,TANK,1,1,15,15,1,15,
Gemstone crab,TANK,1,1,1,1,1,15,
Pirate,BRUTE,6,6,6,1,1,45,
Rogue,BRUTE,4,4,4,1,1,75,
Abyssal demon,PREDATOR,29,20,41,1,1,60,
Aberrant spectre,MYSTIC,1,1,27,32,1,45,
Deviant spectre,MYSTIC,1,1,27,62,1,45,
Ankou,BRUTE,21,21,18,1,1,30,
Banshee,MYSTIC,7,5,7,1,1,30,
Twisted banshee,MYSTIC,23,26,15,1,1,30,
Basilisk,TANK,9,14,23,1,1,30,
Basilisk knight,TANK,51,39,60,1,1,30,
Bloodveld,STALKER,23,14,9,1,1,45,Overrides TANK — is STALKER correct? bloodveld is a melee monster
Mutated bloodveld,STALKER,33,35,9,1,1,45,
Cave bug,NIMBLE,2,2,2,1,1,60,
Cave crawler,PREDATOR,7,5,5,1,1,45,
Cave slime,TANK,4,4,11,4,1,30,
Cave horror,PREDATOR,24,23,19,24,1,45,
Dagannoth,STALKER,20,21,15,1,1,60,
Dark beast,TITAN,42,48,36,48,1,30,
Desert lizard,NIMBLE,6,7,6,1,1,60,
Drake,TITAN,42,35,36,34,42,45,
Dust devil,PREDATOR,32,21,12,1,1,60,
Fever spider,PREDATOR,18,9,12,1,1,60,
Fleshcrawler,PREDATOR,18,1,3,1,1,60,
Gargoyle,TANK,23,32,32,1,1,30,
Hellhound,PREDATOR,32,31,31,1,1,45,
Hydra,STALKER,1,1,30,63,63,30,
Ice troll,TANK,30,30,36,1,1,15,
Mountain troll,BRUTE,12,23,12,1,1,15,
