Name,BasePrayer
Chicken,1
Cow,1
Cow calf,1
Duck,1
Ram,1
Seagull,1
Man,1
Woman,1
Farmer,1
Goblin,1
Guard,1
Rat,1
Giant rat,1
Imp,1
Zombie,1
Skeleton,1
Ghost,1
Barbarian,1
Warrior,1
Wizard,1
Dark wizard,1
Minotaur,1
Bear,1
Grizzly bear,1
Unicorn,1
Spider,1
Giant spider,1
Scorpion,1
Hill giant,1
Moss giant,1
Fire giant,1
Ice giant,1
Earth warrior,1
Lesser demon,1
Greater demon,1
Black demon,1
Black knight,1
White knight,1
Hobgoblin,1
Chaos druid,1
Rock crab,1
Sand crab,1
Swamp crab,1
Gemstone crab,1
Pirate,1
Rogue,1
Abyssal demon,15
Aberrant spectre,5
Deviant spectre,5
Ankou,2
Banshee,1
Twisted banshee,1
Basilisk,1
Basilisk knight,1
Bloodveld,10
Mutated bloodveld,1
Cave bug,1
Cave crawler,1
Cave slime,1
Cave horror,1
Dagannoth,1
Dark beast,1
Drake,1
Dust devil,1
Fever spider,1
Fleshcrawler,1
Gargoyle,1
Hellhound,1
Hydra,1
Ice troll,1
Mountain troll,1
Troll,1
Infernal mage,1
Jelly,1
Warped jelly,1
Kalphite soldier,1
Kalphite guardian,3
Kalphite worker,1
Kurask,1
Lizardman,1
Lizardman brute,1
Lizardman shaman,20
Mogre,1
Nechryael,5
Greater nechryael,7
Pyrefiend,1
Rockslugs,1
Smoke devil,20
Spiritual warrior,43
Spiritual mage,43
Spiritual ranger,43
Suqah,1
Turoth,1
Vampyre,1
Vyrewatch,20
Waterfiend,1
Wyrm,15
Wyvern,30
Ancient wyvern,30
Skeletal wyvern,30
Fossil island wyvern,30
Warped tortoise,1
Tortoise,1
Zombie pirate,1
Baby blue dragon,1
Baby green dragon,1
Green dragon,2
Blue dragon,2
Red dragon,2
Black dragon,2
Lava dragon,2
Bronze dragon,2
Iron dragon,3
Steel dragon,5
Mithril dragon,10
Adamant dragon,15
Rune dragon,20
Brutal black dragon,5
Brutal red dragon,5
Brutal blue dragon,5
Brutal green dragon,5
Dark warrior,1
Ice warrior,1
Ice spider,1
Scurrius,20
Giant Mole,30
King Black Dragon,40
Chaos Elemental,30
Chaos Fanatic,1
Crazy Archaeologist,1
Scorpia,1
Deranged Archaeologist,5
Sarachnis,5
Hespori,15
Obor,10
Bryophyta,10
Cerberus,20
Kraken,1
Thermonuclear smoke devil,1
Alchemical Hydra,1
Zulrah,40
Vorkath,50
Phantom Muspah,50
Duke Sucellus,70
The Leviathan,70
Vardorvis,70
The Whisperer,70
Nex,75
TzTok-Jad,70
TzKal-Zuk,80
Araxxor,1
Hueycoatl,1
Sol Heredit,80
Amoxliatl,1
Callisto,50
Artio,35
Venenatis,50
Spindel,35
Vet'ion,50
Calvar'ion,35
Corporeal Beast,70
Commander Zilyana,65
General Graardor,65
K'ril Tsutsaroth,65
Kree'arra,65
Dagannoth Rex,1
Dagannoth Prime,1
Dagannoth Supreme,1
Dusk,30
Dawn,30
The Nightmare,68
Phosani's Nightmare,68
Ahrim the Blighted,40
Dharok the Wretched,40
Guthan the Infested,40
Karil the Tainted,40
Torag the Corrupted,40
Verac the Defiled,40
Tekton,65
Great Olm,80
Vespula,65
Maiden of Sugadinti,65
Pestilent Bloat,65
Sotetseg,65
Xarpus,50
Verzik Vitur,80
Akkha,65
Ba-Ba,65
Kephri,65
Zebak,70
Tumeken's Warden,80
Elidinis' Warden,80
Abyssal Sire,40
